Key,Type,Desc,English,Japanese
Menus/SelectBuildingCard,Text,,SELECT BUILDING CARD,建物カードを選択する
Menus/SelectDiscard,Text,,Select card to discard,捨て札を選択する
Menus/Selected,Text,,SELECTED,選択済
Menus/SettingTitle,Text,,SETTINGS,設定
Menus/Settings,Text,,SETTINGS,設定
Menus/Shop,Text,,SHOP,ショップ
Menus/ShowOpponentEndTurn,Text,,Automatic opponent actions display,対戦相手のアクションを自動表示
Menus/SignIn,Text,,SIGN IN,サインイン
Menus/SignInMessage,Text,,ALREADY HAVE AN ACCOUNT WITH ASMODEE? SIGN IN BELOW.,アズモディにアカウントをお持ちですか？下記よりサインインしてください。
Menus/SkipTutorial,Text,,Would you like to exit the tutorial? Your progress will not be saved.,チュートリアルを終了しますか？進行状況は保存されません。
Menus/Slow,Text,,NORMAL,ノーマル
Menus/Solo,Text,,SOLO CHALLENGE,ソロ・チャレンジ
Menus/SoloChallengeTR63,Text,,SOLO CHALLENGE TR63,ソロチャレンジTR63
Menus/SoloGoal,Text,,Goal,目標
Menus/SoloGoalClassic,Text,,Reach <color=#76e2cf>the maximum on the 3 Global Parameters</color> before generation <color=#76e2cf>14</color>.,<color=#76e2cf>3つのグローバルパラメータ</color>の最大値を<color=#76e2cf>14</color>世代前に達成する。
Menus/SoloGoalPrelude,Text,,Reach <color=#76e2cf>the maximum on the 3 Global Parameters</color> before generation <color=#76e2cf>12</color>.,<color=#76e2cf>3つのグローバルパラメータ</color>の最大値を<color=#76e2cf>12</color>世代前に達成すること。
Menus/SoloGoalTR63,Text,,Reach <color=#76e2cf>a Terraforming Rating of 63</color> before generation <color=#76e2cf>14</color>.,<color=#76e2cf>世代<color=#76e2cf>14</color>までにテラフォーミング評価63</color>に到達していること。
Menus/SoloGoalTR63Prelude,Text,,Reach <color=#76e2cf>a Terraforming Rating of 63</color> before generation <color=#76e2cf>12</color>.,<color=#76e2cf>世代<color=#76e2cf>12</color>までにテラフォーミング評価63</color>に到達していること。
Menus/SoloPreludeInfo,Text,,"Prelude phase is enabled, you only have 12 generation",プレリュード・フェイズが有効な場合、12世代までしか使えない
Menus/SoloTR63,Text,,TR63 <color=#5CF5CC>{0}</color>,TR63 <color=#5CF5CC>{0}</color>。
Menus/SoloTR63Info,Text,,New goal: Reach a Terraforming Rating of 63,新たな目標：テラフォーミング評価63点達成
Menus/Sound,Text,,SOUND,サウンド
Menus/StandardDraw,Text,,Standard Draw,スタンダードドロー
Menus/StandardDrawInfo,Text,,"At start, corporations will be drawn from a single deck of mixed additional and base game cards",スタート時、企業は追加カードと基本ゲームカードが混ざった1つの山札から抽選されます。
Menus/Support,Text,,SUPPORT,サポート
Menus/TharsisMap,Text,,Tharsis,タルシス
Menus/Time,Text,,TIME <color=#5CF5CC>{0}</color>,TIME <color=#5CF5CC>{0}</color>。
Menus/Tutorial,Text,,TUTORIAL,チュートリアル
Menus/TutorialFirst,Text,,Welcome to Terraforming Mars. Would you like to start with the tutorial?,テラフォーミング・マーズへようこそ。チュートリアルから始めますか？
Menus/TutorialPopUp,Text,,Do you want to play the tutorial?,チュートリアルをプレイしますか？
Menus/Unranked,Text,,UNRANKED,UNRANKED
Menus/Use,Text,,USE,USE
Menus/Username,Text,,USERNAME,USERNAME
Menus/UsernameOrEmail,Text,,USERNAME OR EMAIL,ユーザー名またはメールアドレス
Menus/Variants,Text,,VARIANTS,バリアント
Menus/VenusNext,Text,,VENUS NEXT,VENUS NEXT
Menus/VenusRules,Text,,VENUS RULES,VENUS RULES
Menus/ViewOtherGames,Text,,VIEW OTHER GAMES,他のゲームを見る
Menus/Waiting,Text,,WAITING...,待機中...
Menus/Yes,Text,,Yes,はい
Menus/You,Text,,(YOU),(YOU)
Menus/animSpeed_amateur,Text,,Default,デフォルト
Menus/animSpeed_beginner,Text,,Slow,遅い
Menus/animSpeed_legend,Text,,Very Fast,非常に速い
Menus/animSpeed_skip_all,Text,,Skip All,すべてスキップ
Menus/animSpeed_skip_mine,Text,,Skip Mine,自分をスキップする
Menus/animSpeed_veteran,Text,,Fast,速い
Menus/autoSwitchBoardToPlayer,Text,,Display automatically the next player,次のプレーヤーを自動的に表示する
Menus/planetMotion,Text,,Planet Motion,プラネット・モーション
Menus/removeConfirm,Text,,Confirmation Pop Up,確認ポップアップ
Menus/removeEndTurn,Text,,Automatic End Turn,自動エンドターン
Menus/resources,Text,,RESOURCES,資源
Menus/sell,Text,,SELL,販売する
Options/AnimationSpeed,Text,,ANIMATION SPEED,アニメーションスピード
Options/FullScreen,Text,,Fullscreen,フルスクリーン
Options/GraphicQuality,Text,,Graphic quality,グラフィック品質
Options/GraphicQuality-High,Text,,High,高
Options/GraphicQuality-Low,Text,,Low,低
Options/GraphicQuality-Middle,Text,,Middle,中
Options/Languages,Text,,LANGUAGES,言語
Options/Max,Text,,MAX,最大
Options/Music,Text,,MUSIC,音楽
Options/Off,Text,,OFF,オフ
Options/On,Text,,ON,オン
Options/Resolution,Text,,Resolution,解像度
Options/SettingTitle,Text,,SETTINGS,設定
Options/ShowOpponentEndTurn,Text,,Automatic opponent actions display,対戦相手のアクションを自動表示
Options/Sound,Text,,SOUND,サウンド
Options/animSpeed_amateur,Text,,Default,デフォルト
Options/animSpeed_beginner,Text,,Slow,遅い
Options/animSpeed_legend,Text,,Very Fast,非常に速い
Options/animSpeed_skip_all,Text,,Skip All,すべてスキップ
Options/animSpeed_skip_mine,Text,,Skip Mine,自分をスキップする
Options/animSpeed_veteran,Text,,Fast,速い
Options/autoSwitchBoardToPlayer,Text,,Display automatically the next player,次のプレーヤーを自動的に表示する
Options/planetMotion,Text,,Planet Motion,プラネット・モーション
Options/removeConfirm,Text,,Confirmation Pop Up,確認ポップアップ
Options/removeEndTurn,Text,,Automatic End Turn,自動ターン終了
PlayerColor/Blue,Text,,Blue,ブルー
PlayerColor/Green,Text,,Green,グリーン
PlayerColor/Purple,Text,,Purple,パープル
PlayerColor/Red,Text,,Red,レッド
PlayerColor/Yellow,Text,,Yellow,イエロー
Popup/ForfeitGameConfirm,Text,,Do you want to forfeit the game?,ゲームを破棄しますか？
Popup/LeaveGameConfirm,Text,,Leave the game and go back to main menu?,ゲームを終了して、メインメニューに戻りますか？
Popup/LeaveGameConfirmDuringAction,Text,,"Are you sure you want to go back to main menu?
Interrupting this action in progress will force the AI to choose on your behalf, and you will not be able to change the outcome.","本当にメインメニューに戻りますか？
このアクションを途中で中断すると、AIがあなたに代わって選択することになり、あなたは結果を変更することができなくなります。"
Popup/NoMoreActions,Text,,You do not have any actions left.,あなたにはもうアクションは残っていないのです。
Popup/QuitAppConfirm,Text,,Do you want to exit the application?,アプリケーションを終了しますか？
Popup/QuitGameConfirm,Text,,Do you want to quit the game?,ゲームをやめたいですか？
Popup/RequirementsNotMet,Text,,You do not fulfill the requirements to play this card.,あなたはこのカードをプレイするための条件を満たしていません。
Popup/RequirementsNotMet_money,Text,,You do not have enough M€ to play this card.,このカードを使うにはM€が足りません。
Popup/RequirementsNotMet_monies,Text,,You do not have enough M€ to play this action.,このアクションを行うには、十分なM€がありません。
Popup/RequirementsNotMet_noCardToPlay,Text,,You could not play another card because your hand is empty.,手札がないため、他のカードを出すことができなかった。
Popup/RequirementsNotMet_noPreludeCardAdditionalPlayable,Text,,You don't meet the conditions to play your additional Prelude card. It will be forfeited.,追加したプレリュードカードをプレイするための条件を満たしていない。没収されます。
Popup/RequirementsNotMet_noPreludeCardPlayable,Text,,You don't meet the conditions to play the remaining Prelude card. It will be forfeited.,残りのプレリュードカードをプレイする条件を満たしていない。没収されます。
Popup/RequirementsNotMet_noPreludeCardsPlayable,Text,,You don't meet the conditions to play the Prelude cards you own. They will be forfeited.,あなたが持っているプレリュードカードは、プレイする条件を満たしていません。没収されます。
Popup/RequirementsNotMet_production,Text,,Not have enough resource production to play this card.,このカードを使うには、資源の生産量が足りません。
Popup/RequirementsNotMet_resource,Text,,You do not have enough resource to play this card.,このカードをプレイするための資源が不足しています。
Popup/RequirementsNotMet_tile,Text,,You cannot place a tile of this type right now.,このタイプのタイルは今すぐには置けません。
Popup/errorLoadingGame,Text,,"An error occured, this save couldn't be loaded.",エラーが発生し、この保存を読み込むことができませんでした。
Popup/heatPayment,Text,,"As the Helion Corportation, you can use Heat to reduce the MC cost of the South Pole melting.",ヘリオン・コーポレーションとして、ヒートを使って南極が溶けるときのMCコストを下げることができます。
Rules/Part01_text01,Text,,"In Terraforming Mars, you control a corporation, and you buy and play cards describing different projects. The projects often directly or indirectly contribute to the terraforming process, but can also consist of business enterprises of different kinds. In order to win, you have to accumulate a good <color=#ffab49>terraform rating (TR)</color> and many <color=#ffab49>victory points (VPs)</color>. Your TR is increased each time you raise a global parameter (<color=#ffab49>temperature, oxygen or ocean</color>). Your TR determines your basic income, as well as your basic score. As the terraforming process proceeds, more projects become feasible. Additional VPs are awarded for anything enhancing mankind’s grip on the solar system. This can be anything, from founding cities to building infrastructure, or protecting the environment.

Time is measured in generations, and each generation starts with a Turn Order phase, followed by a Research phase, in which players access new cards. In the Action phase, players take turns doing 1 or 2 actions, going around the table until everyone has passed. Then, in the Production phase, all players produce resources according to their production parameters on the player boards, and gain income from their TR.
 
 The central game view has tracks for temperature, oxygen level, terraform rating, and generations. There is a surface map where you add ocean tiles, greenery tiles, and city tiles as the game progresses. There is also a list of standard projects available to all players, as well as milestones and awards that players can compete for.
 
 The game ends when there is enough oxygen to breathe (14%), oceans enough to allow Earth-like weather (9), and the temperature is well above freezing (+8°C). It will then be possible, if not comfortable, to live on the surface of Mars!
 
 <color=#ffab49>The winner is the player with most VPs at the end of the game. VPs come from your TR, your tiles on the game view, won awards, claimed milestones, and VPs on cards you have played.</color>","テラフォーミング・マーズでは、あなたは企業をコントロールし、さまざまなプロジェクトについて書かれたカードを購入しプレイします。プロジェクトは、直接または間接的にテラフォーミングプロセスに貢献することが多いですが、さまざまな種類の事業で構成されていることもあります。勝つためには、良い<color=#ffab49>テラフォーム評価(TR)</color>と多くの<color=#ffab49>勝利ポイント(VP)</color>を蓄積する必要があります。TRはグローバルパラメータ（<color=#ffab49>温度、酸素、海洋</color>）を上げるたびに上昇します。TRはあなたの基本収入と、基本スコアを決定します。テラフォーミングが進むにつれて、より多くのプロジェクトが実現可能になります。人類の太陽系支配を強化するものには、追加のVPが与えられます。これは、都市の設立、インフラの構築、環境の保護など、何でもありです。

各世代はターンオーダーフェイズで始まり、次にリサーチフェイズで新しいカードにアクセスします。アクションフェイズでは、プレイヤーは1つか2つのアクションを順番に行い、全員がパスするまでテーブルを回ります。そして、生産フェイズでは、すべてのプレイヤーが、プレイヤーボードに書かれた生産パラメータに従って資源を生産し、そのTRから収入を得ます。

 中央のゲームビューには、温度、酸素濃度、テラフォーム評価、世代などのトラックがあります。地表マップには、海洋タイル、緑地タイル、都市タイルがあり、ゲームの進行に応じて追加していきます。また、全プレイヤーが参加できる標準的なプロジェクトのリストや、プレイヤーが競い合うマイルストーンやアワードも用意されています。

 ゲームは、呼吸に十分な酸素があり（14％）、地球のような天候を可能にするほどの海洋があり（9）、気温が氷点下（＋8℃）を大きく超えた時点で終了します。そうなれば、快適とは言えないまでも、火星の地表で生活することは可能になります！

<color=#ffab49>ゲーム終了時に最も多くのVPを持っているプレイヤーが勝者となります。VPは、あなたのTR、ゲームビュー上のあなたのタイル、獲得したアワード、主張したマイルストーン、あなたがプレイしたカードのVPから得られます</color>。"
Rules/Part01_title,Text,,GAME OVERVIEW,ゲーム概要
Rules/Part02_text01,Text,,"Temperature, oxygen, and ocean are called <color=#ffab49>global parameters</color>. Whenever you raise one of them, your terraform rating also increases by that much, giving you a higher income and score. 
 When a global parameter has reached its goal, it can’t be raised any further, and so does not increase your TR. You may still play cards and actions that increase the parameter - just ignore that part of the effect. 
 When all three global parameters have reached their goal, the game ends after that generation (after the production phase).","温度、酸素、海洋は<color=#ffab49>グローバルパラメータ</color>と呼ばれます。これらのパラメータを上げるたびに、テラフォーム評価もその分上がり、収入やスコアが高くなります。
 グローバルパラメータが目標値に達すると、それ以上上げることができなくなるので、TRが増えることはありません。ただし、そのパラメータを上昇させるカードやアクションをプレイすることはできますので、その部分の効果は無視してください。3 つのグローバルパラメータがすべて目標値に達した場合、その世代（生産フェイズの後）をもってゲームは終了します。"
Rules/Part02_title,Text,,GLOBAL PARAMETERS,グローバルパラメータ
Rules/Part03_text01,Text,,"1. Player Tags: Where you see each player’s TR and corporation, and the player order. Allows you to skip or pass a turn.",1.プレイヤータグ。各プレイヤーのTRと企業、プレイヤーの順番が表示される場所。ターンのスキップやパスができるようになる。
Rules/Part03_text02,Text,,2. Current generation: The generation you are at.,2.現在の世代。あなたが今いる世代。
Rules/Part03_text03,Text,,3. Oxygen: This global parameter starts at 0% and ends at 14%.,3.酸素。0%から始まり14%で終了するグローバルなパラメータ。
Rules/Part03_text04,Text,,"4. Temperature: This global parameter starts at -30°C and ends at 8°C, and goes up 2°C each step.",4.温度。このグローバルパラメーターは-30℃から始まり、8℃で終わり、2℃ずつ上がっていく。
Rules/Part03_text05,Text,,5. Oceans: The amount of Ocean placed on Mars. You can place up to 9.,5.オーシャン火星に配置された海洋の量です。最大9個まで配置できます。
Rules/Part03_text06,Text,,"6. Bonus steps: If you raise the parameter to this point, you also get the attached bonus.",6.ボーナスステップ。ここまでパラメータを上げると、付属のボーナスも得られます。
Rules/Part03_text07,Text,,7. Standard Projects: Allows you to do standards projects. May be used by any player regardless of what cards you have.,7.標準プロジェクト。スタンダードプロジェクトを行うことができるようになります。持っているカードに関係なく、どのプレイヤーも使用することができます。
Rules/Part03_text08,Text,,8. Milestones: Allows you to claim Milestones for extra VPs at the end of the game.,8.マイルストーンマイルストーンを獲得すると、ゲーム終了時に追加でVPを獲得できます。
Rules/Part03_text09,Text,,9. Awards: Allows you to fund Awards for extra VPs at the end of the game.,9.アワードゲーム終了時にVPを追加するためのアワードの資金を調達することができるようになります。
Rules/Part03_text10,Text,,"10. Placement bonuses: When placing a tile on an area with a placement bonus, you get the listed resources or cards.",10.プレイスメントボーナス配置ボーナスのあるエリアにタイルを置くと、記載されている資源やカードが手に入ります。
Rules/Part03_text11,Text,,11. Ocean-reserved areas: Blue areas are reserved for ocean tiles; ocean tiles may only be placed here and no other tile may be placed here.,11.海洋の予約エリア青い部分は海洋タイル専用で、ここにしか海洋タイルは置けず、他のタイルは置けません。
Rules/Part03_text12,Text,,12. Special reserved areas: 3 areas are reserved for specific cities. No other tiles may be placed there.,12.特別予約地域。3つのエリアは特定の都市のために予約されています。他のタイルはそこに置くことができません。
Rules/Part03_text13,Text,,13. Player Board: The information on the resources and resource productions you have during the game. ,13.プレイヤーボード。ゲーム中に所持している資源や資源生産物の情報です。 
Rules/Part03_text14,Text,,14. Card hand: Where you can see and use your cards. ,14.カードの手元。カードを見たり使ったりする場所。 
Rules/Part03_text15,Text,,"15. Card Resources: All cards that can accumulate resources, and the resources placed on them.",15.カードの資源資源を蓄積できる全てのカードと、その上に配置された資源。
Rules/Part03_text16,Text,,"16. Tags: All of the tags you’ve accumulated from all the cards you’ve played, except for red cards. Can be used for requirements and for certains cards.",16.タグ赤のカードを除く、すべてのカードで貯めたタグのこと。条件や、あるカードに使用することができる。
Rules/Part03_text17,Text,,"17. VPs: All VPs you’ve accumulated so far in the game, excluding dynamic VPs.",17.VPsゲーム内でこれまでに貯めたVPのうち、ダイナミックVPを除くすべてのVPです。
Rules/Part03_text18,Text,,18. Actions: A list of all the Actions that can be used by you.,18.Actions（アクション）。あなたが使用できるすべてのActionのリストです。
Rules/Part03_text19,Text,,19. Effects: A list of all of the effects you’ve accumulated during the game.,19.効果ゲーム中に蓄積された効果の一覧です。
Rules/Part03_text20,Text,,20. Corporation: You can see your corporation and its bonus anytime through this button.,20.企業です。このボタンからいつでも企業とそのボーナスを確認することができます。
Rules/Part03_title,Text,,GAME VIEW,ゲームビュー
Rules/Part04_text01,Text,,"The game view has a map where tiles may be placed. When placing a tile, you must first check to see if there are any placement restrictions. There are areas reserved for ocean and specific cities, where no other tiles may be placed. Furthermore, each tile may have specific restrictions on the respective card or in the summaries below.
 
 When you place the tile, you receive the <color=#ffab49>placement bonus</color> on that area (if any). You also get a bonus for placing tiles next to ocean tiles (see below).","ゲームビューには、タイルを配置することができるマップがあります。タイルを配置する際には、まず配置制限があるかどうかを確認する必要があります。海洋や特定の都市には、他のタイルを置くことができない領域があります。さらに、各タイルには、それぞれのカードや以下のまとめにあるような具体的な制約がある場合があります。

 タイルを配置すると、その領域で<color=#ffab49>配置ボーナス</color>を受け取ります（ある場合）。また、海洋タイルの隣にタイルを置くとボーナスが得られます(下記参照)。"
Rules/Part04_text02,Text,,"<color=#ffab49>Ocean tile: Ocean tiles may only be placed on areas reserved for ocean (see map).</color> Placing an ocean tile increases your TR by 1 step. Ocean tiles are not owned by any player. Each ocean tile on the board provides a 2 M€ placement bonus for any player later placing a tile, even another ocean, next to it. 
 Example: If you place a city tile adjacent to 2 different ocean tiles you get 4 M€ as placement bonus.","<color=#ffab49>海洋タイル。海洋タイル：海洋タイルは海洋用に確保された場所(マップ参照)にのみ置くことができる。</color> 海洋タイルを置くと、自分のTRが1段階上昇する。海洋タイルはどのプレイヤーにも所有されていない。ボード上の各海洋タイルは、後でタイルを置くプレイヤーに2M€の配置ボーナスを提供し、その隣に他の海洋であっても置くことができます。 
例：2つの海洋タイルに隣接して都市タイルを配置した場合、配置ボーナスとして4M€を得ます。"
Rules/Part04_text03,Text,,"<color=#ffab49>Greenery tile: If possible, greenery tiles must be placed next to another tile that you own.</color> If you have no available area next to your tiles, or if you have no tile at all, you may place the greenery tile on any available area. <color=#ffab49>When placing a greenery tile, you increase the oxygen level, if possible, and also your TR. If you can’t raise the oxygen level you don’t get the increase in TR either.</color> Greenery tiles are worth 1 VP at the end of the game, and also provide 1 VP to any adjacent city (see below).",<color=#ffab49>緑地タイル：可能であれば、緑地タイルはあなたが所有している他のタイルの隣に置かなければなりません。</color>あなたのタイルの隣に空いている場所がない場合、または全くタイルがない場合、緑地タイルは空いている場所に置くことができます。 <color=#ffab49> 緑地タイルを置くとき、可能ならあなたは酸素レベルを上げ、また、あなたのTRも上げます。</color>緑地タイルはゲーム終了時に1VPの価値があり、また隣接する都市（下記参照）にも1VPを提供します。
Rules/Part04_text04,Text,,"<color=#ffab49>City tile: May not be placed next to another city</color> (exception: Noctis City must always be placed on its reserved area). Each city tile is worth 1 VP for each adjacent greenery tile (regardless of owner) at the end of the game. (Note: the card Capital places the unique <color=#ffab49>Capital</color> city tile, which counts and scores like a normal city tile, but additionally gives you VPs for adjacent ocean tiles, as stated on the card.)",<color=#ffab49>都市タイル：他の都市の隣に置くことはできません</color>（例外：Noctis Cityは常にその予約区域に置かなければなりません）。各都市タイルは、ゲーム終了時に隣接する緑地タイル（所有者に関係なく）1枚につき1VPの価値があります。(注：カード「首都」は、独特の<color=#ffab49>Capital</color>都市タイルを配置します。これは通常の都市タイルと同様にカウントし得点しますが、カードに記載されているように、さらに隣接する海洋タイルのVPを与えます)。
Rules/Part04_text05,Text,,<color=#ffab49>Special tiles:</color> Some cards allow you to place special tiles. Any function or placement restriction is described on the card.,<color=#ffab49>特殊タイル:</color> カードによっては特殊タイルを配置することができます。機能や配置の制限については、カードに記載されています。
Rules/Part04_title,Text,,TILES,タイル
Rules/Part05_text01,Text,,"The player board keeps track of your current resources and production. <color=#ffab49>The numbers inside brown boxes refer to production</color> of that resource, while the number below refer to the amount of resource (see image below).",プレイヤーボードには、現在の資源と生産量が記録されています。 <color=#ffab49>茶色のボックス内の数字はその資源の生産量</color>を、下の数字は資源の量を表しています（下図参照）。
Rules/Part05_text02,Text,,"1. <color=#ffab49>Production tracks:</color> When you gain production of a resource, the number increases. During the production phase, you gain resources equal to your production.",1.<color=#ffab49>生産トラック：</colo>資源を生産すると、数値が増加します。生産フェイズ中、生産量に等しい資源を獲得する。
Rules/Part05_text03,Text,,"2. <color=#ffab49>MegaCredits (M€):</color> Are used to pay for cards and other things. <color=#ffab49>Note: Your M€ income is the sum of your M€ production and your TR.</color> M€ production is the only production that can be negative, but it may never be lowered below -5.",2.<color=#ffab49>メガクレジット(M€):</color> カードなどの支払いに使用します。 <color=#ffab49>注意: M€収入はM€生産とTRの合計です。</color> M€生産だけがマイナス生産ですが、決して-5以下に下げることができません。
Rules/Part05_text04,Text,,"3. <color=#ffab49>Steel:</color> Is only used to pay for cards with a building tag and is worth 2 M€/resource. You may pay with both M€ and steel, but you get no refund for ’overpaying’ with steel.",3.<color=#ffab49>鋼鉄:</color> 建築タグの付いたカードの支払いにのみ使用され、1資源あたり2M€の価値があります。M€と鋼鉄の両方で支払うことができますが、鋼鉄で「払いすぎた」場合の返金はありません。
Rules/Part05_text05,Text,,"4. <color=#ffab49>Titanium:</color> Is only used to pay for cards with a space tag and is worth 3 M€/resource, similar to steel.",4.<color=#ffab49>チタン：</color> 宇宙タグを持つカードの支払いにのみ使用され、鋼鉄と同様に3M€/資源の価値があります。
Rules/Part05_text06,Text,,5. <color=#ffab49>Plants:</color> May be converted into greenery tiles by using the depicted action.,5.<color=#ffab49>植物:</color>描かれたアクションを使用することで、緑地タイルに変換することができる。
Rules/Part05_text07,Text,,6. <color=#ffab49>Energy:</color> Is used by many cards. <color=#ffab49>All leftover energy is converted into heat at the beginning of the production phase.</color>,6.<color=#ffab49>エネルギー：</color> 多くのカードで使用されています。 余ったエネルギーは、生産段階の最初に熱に変換されます。
Rules/Part05_text08,Text,,7. <color=#ffab49>Heat:</color> May be spent to raise temperature by 1 step by using the depicted action.,7.<color=#ffab49>熱:</color> 描かれたアクションを使うことで、気温を1段階上げるために消費することができる。
Rules/Part05_title,Text,,PLAYER BOARD,プレイヤーボード
Rules/Part06_text01,Text,,"Each player starts the game with a <color=#ffab49>corporation card</color>. During the game, players buy and play many <color=#ffab49>project cards</color> to get benefits of different kinds. Project
cards are divided into active cards (blue), automated cards (green)
and event cards (red). See below to learn how they are played.",各プレイヤーは<color=#ffab49>企業カード</color>を持ってゲームを開始します。ゲーム中、プレイヤーは多くの<color=#ffab49>プロジェクトカード</color>を購入してプレイし、さまざまな種類の利益を得ます。プロジェクトカードには、アクティブカード（青）、オートメーションカード（緑）、イベントカード（赤）があり、それぞれどのように遊ぶかは、以下をご覧ください。
Rules/Part06_text02,Text,,<color=#ffab49>CORPORATION CARDS</color>,<color=#ffab49>企業カード</color> 
Rules/Part06_text03,Text,,"1. <color=#ffab49>Tag:</color> Places the card in certain categories, which can affect or be affected by other cards, or by the player board (e.g. you can pay with steel when playing a building tag).",1.<color=#ffab49>タグ:</color> そのカードを特定のカテゴリに配置し、他のカードやプレイヤーボードに影響を与えたり与えたりします（例：建物のタグを出すときに鉄で支払うことができます）。
Rules/Part06_text04,Text,,"2. <color=#ffab49>Starting conditions:</color> This tells you how much money (M€) you start with, as well as other starting resources and production. Some corporations also have a fixed first action described here (see example card).",2.<color=#ffab49>開始条件:</color> これはあなたがどれだけのお金（M€）で開始するか、また他の開始資源や生産量を示しています。また、企業によってはここに記述されている最初の行動が決まっているものもあります（カード例参照）。
Rules/Part06_text05,Text,,"3. <color=#ffab49>Effect / Action:</color> Boxes marked by a blue ribbon show an ongoing effect or action that may be used during the game. Actions may be used only once per generation, while effects are always active.",3.<color=#ffab49>効果/行動:</color> 青いリボンでマークされたボックスは、ゲーム中に使用することができる進行中の効果または行動を示しています。アクションは1世代に1回しか使用できませんが、エフェクトは常に有効です。
Rules/Part06_text06,Text,,4. <color=#ffab49>Flavor text:</color> Gives you some background information and feeling for the card.,4.<color=#ffab49>フレーバーテキスト：</color> カードの背景情報とフィーリングを与えます。
Rules/Part06_text07,Text,,<color=#ffab49>PROJECT CARDS</color>,<color=#ffab49>プロジェクトカード</color>
Rules/Part06_text08,Text,,"5. <color=#ffab49>Cost:</color> This is what you pay to play the card from your hand. (To get cards into your hand, you must first buy them during the research phase).",5.<color=#ffab49>コスト:</color> 手札からカードをプレイするために支払う金額です。(カードを手札に入れるには、まず研究フェイズにカードを購入する必要があります)。
Rules/Part06_text09,Text,,"6. <color=#ffab49>Requirement:</color> Any requirement must be met in order to play the card. Some cards require a global parameter to have reached a certain level, while others can only be played while the parameter is still low (see example card). Some cards require that you have certain tags or production. (Note: In order to play the card you must also be able to perform the effects of the card.) Note also that the requirement only needs to be fulfilled when playing the card, not when you use it later.",6.<color=#ffab49>条件：</color> カードをプレイするためには、何らかの条件を満たす必要があります。グローバルパラメータが一定以上に達していることを条件とするカードもあれば、パラメータが低いうちしかプレイできないカードもあります（カード例参照）。また、特定のタグやプロダクションを持っていることを条件とするカードもあります。(注：カードをプレイするためには、そのカードの効果を実行できることも必要です)。また、条件を満たす必要があるのは、そのカードをプレイするときだけで、後で使うときには必要ないことに注意してください。
Rules/Part06_text10,Text,,"7. <color=#ffab49>Immediate effects:</color> Most cards affect your (or your opponent’s) resources or production. You may also get tiles to place, or other effects.",7.<color=#ffab49>即時効果:</color> ほとんどのカードはあなた（または対戦相手）の資源や生産に影響を及ぼします。また、配置するタイルや、その他の効果を得ることもあります。
Rules/Part06_text11,Text,,8. <color=#ffab49>VPs:</color> Some cards give you victory points at the end of the game.,8.<color=#ffab49>VP:</color>カードによっては、ゲーム終了時に勝利ポイントを得られるものもあります。
Rules/Part06_text12,Text,,"<color=#ffab49>If you are uncertain of how a card works, read the text at the bottom of the card.</color>",<color=#ffab49>カードの仕組みがわからない場合は、カードの下にあるテキストを読んでください。
Rules/Part06_title,Text,,CARDS,カード
Rules/Part07_text01,Text,,"<color=#ffab49>Players:</color> In standard game, you start with 1 extra production of each resource. Each player also starts with a TR of 20.",<color=#ffab49>プレイヤー:</color> 標準ゲームでは、各資源の生産量が1ずつ増えている状態でスタートします。また、各プレイヤーはTRが20の状態でスタートします。
Rules/Part07_text02,Text,,"<color=#ffab49>Choose cards:</color> A Beginner Corporation gets to keep all their 10 cards for free, while the other players now simultaneously choose which corporation to play, and what project cards to keep in their starting hand.
Each card costs 3 M€, and the remaining cards are discarded.","<color=#ffab49>カードの選択:</color> ビギナーコーポレーションは10枚のカードを全て無料でキープすることができ、他のプレイヤーは同時にどの企業をプレイするか、またどのプロジェクトカードをスタート時の手札にキープするかを選択します。
カードは1枚3M€で、残りのカードは捨て札になります。"
Rules/Part07_text03,Text,,"<color=#ffab49>Start the game:</color> The first generation starts without a player order phase and without a research phase (since you just performed those phases during setup), so the first player just starts the action phase.",<color=#ffab49>ゲーム開始:</color> 第1世代はプレイヤーオーダー・フェイズも研究フェイズもなく（セットアップ時にそれらのフェイズを実行したばかりなので）、最初のプレイヤーは行動フェイズを開始するだけです。
Rules/Part07_title,Text,,SETUP,セットアップ
Rules/Part08_text01,Text,,"Because of the long time spans needed for the projects, this game is played in a series of generations. Each generation the players go through 4 phases.",このゲームは、プロジェクトに長い時間が必要なため、何世代にもわたってプレイされます。各世代でプレイヤーは4つのフェーズを経験する。
Rules/Part08_text02,Text,,"<color=#ffab49>1) Player Order phase</color>
The first player moves to the bottom of the player menu on the left side of the screen, while all other players move up. The generation number increases. 
This phase is skipped the first generation (see setup).","<color=#ffab49>1) プレイヤーオーダーフェイズ</color>
最初のプレイヤーは画面左のプレイヤーメニューの一番下に移動し、他のプレイヤーは上に移動します。世代数が増えていきます。このフェーズは第1世代ではスキップされます（セットアップを参照）。"
